위치좌표 X축값 ,위치좌표 Y축값 ,구분,장소명
126.253403,33.326573,문화/종교/예술,저청중앙교회
126.688851,33.434218,관광/숙박,산굼부리분화구
126.494816,33.489559,관광/숙박,남양호텔
126.406177,33.341549,레져/스포츠,나인브릿지CC
126.431651,33.302762,레져/스포츠,레이크힐스제주CC
126.481754,33.510081,레져/스포츠,제주시생활체육스킨스쿠버교육장
126.475655,33.507381,관광/숙박,해변풍경펜션
126.462456,33.502457,관광/숙박,노벨리조트펜션
126.467181,33.502474,관광/숙박,쌍둥이민박
126.407461,33.4788,문화/종교/예술,하귀장로교회
126.41906,33.489374,관광/숙박,고운바다소리펜션
126.402688,33.425406,레져/스포츠,유수암수련장
126.403676,33.422656,문화/종교/예술,유수암교회
126.432523,33.442713,문화/종교/예술,제주공룡랜드
126.431235,33.446846,문화/종교/예술,법장사
126.443397,33.447946,관광/숙박,선타운
126.429173,33.450229,관광/숙박,광령아카데미하우스
126.429273,33.451504,문화/종교/예술,섬기는교회
126.490893,33.425674,레져/스포츠,어승생승마장
126.486743,33.454904,관광/숙박,탐라농장
126.397225,33.45347,관광/숙박,산빛마당펜션
126.407537,33.455911,문화/종교/예술,극락사
126.418411,33.458078,레져/스포츠,고성1리종합운동장
126.42706,33.491166,문화/종교/예술,서부교회
126.433234,33.491741,문화/종교/예술,제주성지교회
126.434609,33.491574,레져/스포츠,외도실내수영장
126.432122,33.493799,관광/숙박,해미안콘도형민박
126.431472,33.484217,문화/종교/예술,제주섬기는교회
126.429709,33.487791,문화/종교/예술,외도순복음교회
126.459645,33.470427,관광/숙박,자연학습체험장
126.491079,33.469611,관광/숙박,한라수목원안내소
126.492892,33.469378,공원/산/동.식물원,한라수목원
126.48103,33.469252,레져/스포츠,제주고등학교골프연습장
126.481118,33.474585,레져/스포츠,제주골프연습장
126.485055,33.475935,문화/종교/예술,제주평안장로교회
126.48708,33.475927,문화/종교/예술,신제주순복음교회
126.480818,33.477835,문화/종교/예술,제주복음교회
126.463019,33.479984,관광/숙박,초록펜션
126.470393,33.480151,문화/종교/예술,반석감리교회
126.469144,33.481201,문화/종교/예술,불광포교원
126.462757,33.482417,문화/종교/예술,제주평화교회
126.474293,33.481684,문화/종교/예술,이조당
126.469344,33.482909,문화/종교/예술,천주교노형교회
126.473943,33.484542,문화/종교/예술,제주새순교회
126.47538,33.486767,문화/종교/예술,온누리교회
126.475793,33.487017,문화/종교/예술,원불교신제주교당
126.478905,33.485217,문화/종교/예술,대순진리회제주노형동수련도장
126.488292,33.494008,문화/종교/예술,순복음제주도중앙교회
126.482042,33.484117,레져/스포츠,제주골프스쿼시클럽
126.489442,33.484318,관광/숙박,뉴아일랜드관광호텔
126.489379,33.484551,문화/종교/예술,열린교회
126.489742,33.485001,관광/숙박,샤인모텔
126.48268,33.484584,관광/숙박,사쿠라호텔
126.483392,33.485609,관광/숙박,베니스모텔
126.483942,33.486484,관광/숙박,포시즌호텔
126.485942,33.486426,관광/숙박,귀빈파크관광호텔
126.593812,33.291407,문화/종교/예술,시온장로교회
126.577726,33.287341,관광/숙박,가산토방
126.584038,33.300448,레져/스포츠,돈내코오토캠프장
126.58715,33.303314,문화/종교/예술,법성사
126.584963,33.300698,관광/숙박,돈내코
126.532389,33.4271,레져/스포츠,탐라교육원
